question|answer_1|answer_2|answer_3|answer_4|correct_answer|detailed_answer|tag_1|tag_2|tag_3
What is Kubernetes?|A database management system|A container orchestration platform|A front-end framework|A type of web server|A container orchestration platform|Kubernetes is an open-source platform designed to automate deploying, scaling, and operating containerized applications.|Kubernetes|basics|orchestration
What is a pod in Kubernetes?|A single container|A scheduling unit that can contain one or more containers|The main Kubernetes server|A configuration file|A scheduling unit that can contain one or more containers|A pod is the smallest and simplest Kubernetes object. It represents a single instance of a running process in a cluster.|Kubernetes|pods|basics
What is the command to create a Kubernetes cluster in Google Cloud?|gcloud create cluster|kubectl create cluster|gcloud container clusters create|kubectl init cluster|gcloud container clusters create|The gcloud container clusters create command creates a new Kubernetes cluster in Google Cloud.|Kubernetes|GCP|cluster_management
What does the Deployment object manage?|Services|Configs|Pods|Controllers|Pods|A Deployment provides declarative updates to applications, managing the various aspects including scaling and updating Pods.|Kubernetes|objects|deployments
What does the kubectl apply command do?|Deletes resources|Updates configuration|Applies a configuration to a resource|Creates a new cluster|Applies a configuration to a resource|kubectl apply is used to apply a configuration to a resource by filename or stdin.|Kubernetes|kubectl|commands
What is the main purpose of a Service in Kubernetes?|To store data|To expose an application running on a set of Pods|To manage configurations|To schedule pods|To expose an application running on a set of Pods|A Service in Kubernetes is an abstract way to expose an application running on a set of Pods as a network service.|Kubernetes|services|networking
What are namespaces used for in Kubernetes?|To organize clusters|To group and isolate resources|To set environment variables|To create services|To group and isolate resources|Namespaces provide a mechanism for isolating groups of resources within a single Kubernetes cluster.|Kubernetes|namespaces|resource_management
What is the command to check the status of nodes in a Kubernetes cluster?|kubectl status nodes|kubectl get nodes|kubectl list nodes|kubectl fetch nodes|kubectl get nodes|The kubectl get nodes command lists all nodes in the cluster and their status.|Kubernetes|commands|nodes
What is a StatefulSet in Kubernetes?|A stateless application manager|A Pod with no state information|An object used for managing stateful applications|A network configuration|An object used for managing stateful applications|A StatefulSet is used to manage the deployment and scaling of a set of Pods, and provides guarantees about the ordering and uniqueness of these Pods.|Kubernetes|objects|stateful_applications
What is the purpose of a ReplicaSet?|To manage stateful applications|To ensure specified number of pod replicas are running|To store secrets|To configure network policies|To ensure specified number of pod replicas are running|ReplicaSets ensure that a specified number of pod replicas are running at any given time.|Kubernetes|objects|replicas
What does the kubectl describe command do?|Deletes a resource|Describes Kubernetes architecture|Provides detailed information about a resource|Creates a new pod|Provides detailed information about a resource|kubectl describe gives detailed information about a specific resource, including metadata and status.|Kubernetes|kubectl|commands
What is Helm in the context of Kubernetes?|A container runtime|A scripting language|A package manager|A monitoring tool|A package manager|Helm is a package manager for Kubernetes that helps in defining, installing, and upgrading complex Kubernetes applications.|Kubernetes|tools|Helm
What role does etcd play in Kubernetes?|It logs events|It stores secrets|It acts as the primary data store|It manages containers|It acts as the primary data store|etcd is a distributed key-value store that Kubernetes uses to store all its cluster data.|Kubernetes|etcd|storage
What is a ConfigMap in Kubernetes?|A way to store secret information|A mapping of network policies|A way to manage environment-specific configuration|A pod management tool|A way to manage environment-specific configuration|ConfigMap is an API object used to store non-confidential configuration data in key-value pairs.|Kubernetes|objects|configuration
What is node affinity in Kubernetes?|Node memory allocation|Node payment plan|Node scheduling constraints|Node log management|Node scheduling constraints|Node affinity is a set of rules used by the scheduler to determine where pods can be placed based on labels assigned to nodes.|Kubernetes|scheduling|affinity
What is the purpose of the Horizontal Pod Autoscaler (HPA)?|To manage cluster roles|To automatically scale the number of pods based on resource utilization|To configure network policies|To manage stateful sets|To automatically scale the number of pods based on resource utilization|HPA automatically adjusts the number of pod replicas based on observed CPU utilization or other metrics.|Kubernetes|autoscaling|HPA
What does rolling update in Kubernetes mean?|Upgrading all pods simultaneously|Sequentially updating pods|Deleting all pods and creating new ones|Creating a new cluster|Sequentially updating pods|Rolling updates incrementally replace the instances of the older version of the application with new ones, ensuring zero downtime.|Kubernetes|updates|deployments
What are Kubernetes Secrets used for?|Storing sensitive data such as passwords or tokens|Monitoring application logs|Managing pod replicas|Handling network traffic|Storing sensitive data such as passwords or tokens|Secrets objects are intended to hold sensitive information such as passwords, OAuth tokens, and SSH keys.|Kubernetes|security|secrets
What is the kubectl command to scale a deployment?|kubectl scale deployment|kubectl set replicas|kubectl resize deployment|kubectl update pods|kubectl scale deployment|The kubectl scale deployment command is used to change the number of replicas of a deployment.|Kubernetes|kubectl|scaling
In Kubernetes, what is the function of the Kubelet?|To act as the master node|To manage the docker daemon|To ensure containers are running in a pod|To schedule pods|To ensure containers are running in a pod|The Kubelet is an agent that runs on each node and ensures that containers are running in a pod.|Kubernetes|nodes|Kubelet
What is a DaemonSet in Kubernetes?|A set of microservices|A configuration file|An application management tool|A way to ensure that all (or some) Nodes run a copy of a Pod|A way to ensure that all (or some) Nodes run a copy of a Pod|DaemonSets ensure that all eligible nodes run a copy of a specified pod, commonly used for network monitoring or logging.|Kubernetes|objects|DaemonSet
What does kubectl logs command do?|Lists all pods|Fetches logs for a container|Deploys a new pod|Deletes a pod|Fetches logs for a container|kubectl logs command is used to fetch logs for a particular container in a pod.|Kubernetes|kubectl|commands
What is a Kubernetes Ingress?|A type of replica set|A network policy for Pods|A way to expose HTTP and HTTPS routes to services|A monitoring tool|A way to expose HTTP and HTTPS routes to services|Ingress can be configured to give services externally reachable URLs, load balancing, SSL termination, and name-based virtual hosting.|Kubernetes|networking|Ingress
How do you view the current context of kubectl?|kubectl current-context details|kubectl get context|kubectl config current-context|kubectl view context|kubectl config current-context|The kubectl config current-context command shows the current context, which dictates the cluster and user kubectl communicates with.|Kubernetes|kubectl|context
What is the main role of the Kubernetes API server?|To log events|To interact with cloud providers|To act as the interface to all other components|To manage nodes|To act as the interface to all other components|The API server serves as the front end for the Kubernetes control plane, providing the RESTful interface to all other components and external users.|Kubernetes|architecture|API server
